experiment_name,scenario_name,N,T,num_runs,weights,sampling_rates,channel_success_probs
peak_aoi,baseline,5,80,1,"[1.0, 1.5, 2.0, 3.0, 5.0]","[0.95, 0.92, 0.88, 0.84, 0.8]","[0.92, 0.88, 0.84, 0.78, 0.7]"
peak_aoi,poor_links,5,80,1,"[1.0, 1.5, 2.0, 3.0, 5.0]","[0.95, 0.9, 0.85, 0.8, 0.75]","[0.8, 0.74, 0.68, 0.6, 0.52]"
peak_aoi,extreme_aging,5,80,1,"[1.0, 1.5, 2.0, 3.0, 5.0]","[0.85, 0.8, 0.75, 0.7, 0.65]","[0.72, 0.66, 0.6, 0.52, 0.45]"
