experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
peak_aoi,baseline,4,whittle,5000,52.5802,148.0,5.803,23.0,1.0,4.8684,18.0,1.5,4.6538,18.0,2.0,4.104,15.0,3.0,3.571,12.0,5.0,23.0,2.0,4.1095999999999995,0.0028998224,0.03631518594920635
peak_aoi,baseline,4,round_robin,5000,70.4872,240.5,3.81,25.0,1.0,4.1984,25.0,1.5,4.6572,25.0,2.0,5.4634,35.0,3.0,6.935,40.0,5.0,40.0,2.0,5.685199999999999,0.0001247368,0.02058107894845307
peak_aoi,baseline,4,periodic,5000,78.6083,215.5,8.8082,39.0,1.0,6.8878,26.0,1.5,7.2318,38.0,2.0,6.4206,27.0,3.0,5.1486,25.0,5.0,39.0,2.0,6.267,0.0001194244,0.0204188609495759
peak_aoi,baseline,4,greedy,5000,55.9432,161.5,9.054,31.0,1.0,6.5488,22.0,1.5,5.3444,19.0,2.0,3.9754,17.0,3.0,2.8902,13.0,5.0,31.0,2.0,4.07,0.0007160894,0.023438203963451087
peak_aoi,baseline,4,random,5000,97.543,387.5,5.7292,34.0,1.0,5.8516,35.0,1.5,6.4814,46.0,2.0,7.5062,51.0,3.0,9.511,64.0,5.0,64.0,2.0,7.832866666666667,0.0013453172,0.026948338956572115
peak_aoi,baseline,5,whittle,5000,52.9023,169.0,5.7544,20.0,1.0,4.9418,18.0,1.5,4.681,20.0,2.0,4.1504,15.0,3.0,3.5844,15.0,5.0,20.0,2.0,4.1386,0.0029410252,0.036507891956716776
peak_aoi,baseline,5,round_robin,5000,72.2097,320.5,3.725,20.0,1.0,4.3514,30.0,1.5,4.8522,30.0,2.0,5.7544,35.0,3.0,6.998,55.0,5.0,55.0,2.0,5.868200000000001,0.0001338972,0.04354911402333528
peak_aoi,baseline,5,periodic,5000,79.0855,195.5,8.7406,52.0,1.0,7.0782,27.0,1.5,7.2256,38.0,2.0,6.2378,27.0,3.0,5.3126,27.0,5.0,52.0,2.0,6.258666666666667,0.0001298218,0.022141291992738843
peak_aoi,baseline,5,greedy,5000,56.1966,181.0,9.018,27.0,1.0,6.6044,25.0,1.5,5.3148,21.0,2.0,4.0248,17.0,3.0,2.9136,15.0,5.0,27.0,2.0,4.0844000000000005,0.000719231,0.023603839916177094
peak_aoi,baseline,5,random,5000,99.2545,328.0,5.5166,41.0,1.0,6.1222,45.0,1.5,6.9048,62.0,2.0,7.333,49.0,3.0,9.7492,55.0,5.0,62.0,2.0,7.995666666666668,0.0013488900000000002,0.02698137692641467
peak_aoi,baseline,6,whittle,5000,52.4144,195.0,5.7476,25.0,1.0,4.8856,21.0,1.5,4.6572,21.0,2.0,4.086,19.0,3.0,3.5532,16.0,5.0,25.0,2.0,4.0988,0.0029200878,0.03628367406781763
peak_aoi,baseline,6,round_robin,5000,71.7682,365.5,3.895,25.0,1.0,4.2064,25.0,1.5,4.6542,30.0,2.0,5.7684,35.0,3.0,6.99,65.0,5.0,65.0,2.0,5.804199999999999,0.0001210608,0.020666637923568487
peak_aoi,baseline,6,periodic,5000,79.5879,238.0,8.6522,39.0,1.0,7.0298,26.0,1.5,7.2326,26.0,2.0,6.5306,27.0,3.0,5.2668,38.0,5.0,39.0,2.0,6.343333333333334,0.000118313,0.02038485510274768
peak_aoi,baseline,6,greedy,5000,55.4782,193.5,8.8574,30.0,1.0,6.4312,22.0,1.5,5.3052,19.0,2.0,4.0242,18.0,3.0,2.8582,14.0,5.0,30.0,2.0,4.0625333333333336,0.0007082762,0.02347530797123909
peak_aoi,baseline,6,random,5000,91.6356,335.0,6.0466,48.0,1.0,6.5464,45.0,1.5,6.65,47.0,2.0,7.4488,46.0,3.0,8.0246,57.0,5.0,57.0,2.0,7.374466666666667,0.0013350830000000001,0.027166158077307045
peak_aoi,baseline,7,whittle,5000,52.7468,199.0,5.6404,23.0,1.0,4.9772,20.0,1.5,4.6586,17.0,2.0,4.1238,17.0,3.0,3.5904,17.0,5.0,23.0,2.0,4.124266666666666,0.0029036956,0.03605512098874897
peak_aoi,baseline,7,round_robin,5000,71.2702,318.0,3.74,20.0,1.0,4.2784,25.0,1.5,4.8592,30.0,2.0,5.4814,40.0,3.0,6.99,60.0,5.0,60.0,2.0,5.776866666666667,0.00012569719999999999,0.020578473922796547
