slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
1,0,1,1,11.0,1,2,2
2,1,1,1,13.0,2,1,3
3,2,1,0,19.0,3,2,4
4,0,1,1,22.0,1,3,5
5,1,1,1,22.0,2,1,6
6,2,0,0,28.0,3,2,7
7,0,1,1,31.0,1,3,8
8,1,1,1,31.0,2,1,9
9,2,0,0,37.0,3,2,10
10,0,1,1,40.0,1,3,11
11,1,1,1,40.0,2,1,12
12,2,1,1,10.0,3,2,1
13,0,1,1,13.0,1,3,2
14,1,1,1,13.0,2,1,3
15,2,1,1,10.0,3,2,1
16,0,1,1,13.0,1,3,2
17,1,1,0,19.0,2,4,3
18,2,0,0,25.0,3,5,4
19,0,1,1,28.0,1,6,5
20,1,0,0,34.0,2,7,6
21,2,1,1,22.0,3,8,1
22,0,1,1,25.0,1,9,2
23,1,1,1,13.0,2,1,3
24,2,1,0,19.0,3,2,4
25,0,1,1,22.0,1,3,5
26,1,1,1,22.0,2,1,6
27,2,1,1,10.0,3,2,1
28,0,1,1,13.0,1,3,2
29,1,1,1,13.0,2,1,3
30,2,1,1,10.0,3,2,1
31,0,1,1,13.0,1,3,2
32,1,1,1,13.0,2,1,3
33,2,1,1,10.0,3,2,1
34,0,1,1,13.0,1,3,2
35,1,0,0,19.0,2,4,3
36,2,0,0,25.0,3,5,4
37,0,1,1,28.0,1,6,5
38,1,1,1,22.0,2,1,6
39,2,1,1,10.0,3,2,1
40,0,1,0,16.0,4,3,2
41,1,0,0,22.0,5,4,3
42,2,1,1,19.0,6,5,1
43,0,1,1,19.0,1,6,2
44,1,1,1,13.0,2,1,3
45,2,1,1,10.0,3,2,1
46,0,1,1,13.0,1,3,2
47,1,1,1,13.0,2,1,3
48,2,1,1,10.0,3,2,1
49,0,1,0,16.0,4,3,2
50,1,1,0,22.0,5,4,3
51,2,0,0,28.0,6,5,4
52,0,1,1,28.0,1,6,5
53,1,1,0,34.0,2,7,6
54,2,1,1,22.0,3,8,1
55,0,1,1,25.0,1,9,2
56,1,1,1,13.0,2,1,3
57,2,0,0,19.0,3,2,4
58,0,1,1,22.0,1,3,5
59,1,0,0,28.0,2,4,6
60,2,1,1,16.0,3,5,1
61,0,1,1,19.0,1,6,2
62,1,1,1,13.0,2,1,3
63,2,1,1,10.0,3,2,1
64,0,1,1,13.0,1,3,2
65,1,1,1,13.0,2,1,3
66,2,1,0,19.0,3,2,4
67,0,1,1,22.0,1,3,5
68,1,1,1,22.0,2,1,6
69,2,1,0,28.0,3,2,7
70,0,1,1,31.0,1,3,8
71,1,0,0,37.0,2,4,9
72,2,1,0,43.0,3,5,10
73,0,1,1,46.0,1,6,11
74,1,1,1,40.0,2,1,12
75,2,0,0,46.0,3,2,13
76,0,1,1,49.0,1,3,14
77,1,1,1,49.0,2,1,15
78,2,1,1,10.0,3,2,1
79,0,0,0,16.0,4,3,2
80,1,1,1,16.0,5,1,3
81,2,1,1,13.0,6,2,1
