slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
454,1,0,0,20.0,2,3,4
455,2,1,1,14.0,3,4,1
456,1,1,1,12.0,4,1,2
457,0,1,1,14.0,1,2,3
458,1,1,1,16.0,2,1,4
459,2,1,1,10.0,3,2,1
460,1,1,1,12.0,4,1,2
461,0,1,1,14.0,1,2,3
462,1,0,0,20.0,2,3,4
463,2,1,1,14.0,3,4,1
464,1,1,1,12.0,4,1,2
465,0,1,0,18.0,5,2,3
466,1,1,1,20.0,6,1,4
467,2,1,1,14.0,7,2,1
468,1,0,0,20.0,8,3,2
469,0,1,1,18.0,1,4,3
470,1,1,1,16.0,2,1,4
471,2,1,1,10.0,3,2,1
472,1,1,1,12.0,4,1,2
473,0,1,1,14.0,1,2,3
474,1,1,1,16.0,2,1,4
475,2,1,0,22.0,3,2,5
476,1,1,1,24.0,4,1,6
477,0,1,1,26.0,1,2,7
478,1,1,1,28.0,2,1,8
479,2,0,0,34.0,3,2,9
480,1,1,1,36.0,4,1,10
481,0,1,1,38.0,1,2,11
482,1,0,0,44.0,2,3,12
483,2,0,0,50.0,3,4,13
484,1,1,1,48.0,4,1,14
485,0,1,1,50.0,1,2,15
486,1,1,1,52.0,2,1,16
487,2,1,1,10.0,3,2,1
488,1,1,0,16.0,4,3,2
489,0,1,1,18.0,1,4,3
490,1,0,0,24.0,2,5,4
491,2,1,1,18.0,3,6,1
492,1,1,1,12.0,4,1,2
493,0,0,0,18.0,5,2,3
494,1,1,1,20.0,6,1,4
495,2,1,0,26.0,7,2,5
496,1,1,0,32.0,8,3,6
497,0,1,0,38.0,9,4,7
498,1,1,1,36.0,10,1,8
499,2,0,0,42.0,11,2,9
500,1,1,1,44.0,12,1,10
501,0,1,1,38.0,1,2,11
502,1,0,0,44.0,2,3,12
503,2,1,0,50.0,3,4,13
504,1,1,1,48.0,4,1,14
505,0,1,0,54.0,5,2,15
506,1,1,1,56.0,6,1,16
507,2,1,1,14.0,7,2,1
508,1,1,1,16.0,8,1,2
509,0,1,1,14.0,1,2,3
510,1,1,0,20.0,2,3,4
511,2,1,0,26.0,3,4,5
512,1,1,1,24.0,4,1,6
513,0,1,1,26.0,1,2,7
514,1,1,0,32.0,2,3,8
515,2,1,1,14.0,3,4,1
516,1,1,1,12.0,4,1,2
517,0,1,1,14.0,1,2,3
518,1,0,0,20.0,2,3,4
519,2,1,1,14.0,3,4,1
520,1,1,1,12.0,4,1,2
521,0,1,1,14.0,1,2,3
522,1,1,1,16.0,2,1,4
523,2,0,0,22.0,3,2,5
524,1,1,1,24.0,4,1,6
525,0,1,1,26.0,1,2,7
526,1,1,1,28.0,2,1,8
527,2,0,0,34.0,3,2,9
528,1,1,1,36.0,4,1,10
529,0,1,0,42.0,5,2,11
530,1,1,1,44.0,6,1,12
531,2,0,0,50.0,7,2,13
532,1,1,1,52.0,8,1,14
533,0,1,1,50.0,1,2,15
534,1,0,0,56.0,2,3,16
535,2,1,1,14.0,3,4,1
536,1,1,0,20.0,4,5,2
537,0,1,1,22.0,1,6,3
538,1,1,1,16.0,2,1,4
539,2,0,0,22.0,3,2,5
540,1,1,0,28.0,4,3,6
541,0,1,1,30.0,1,4,7
542,1,1,0,36.0,2,5,8
543,2,0,0,42.0,3,6,9
544,1,1,1,36.0,4,1,10
545,0,1,1,38.0,1,2,11
546,1,1,1,40.0,2,1,12
547,2,1,0,46.0,3,2,13
548,1,1,1,48.0,4,1,14
549,0,1,1,50.0,1,2,15
550,1,1,0,56.0,2,3,16
551,2,1,0,62.0,3,4,17
552,1,1,1,60.0,4,1,18
553,0,1,1,62.0,1,2,19
554,1,0,0,68.0,2,3,20
555,2,1,1,14.0,3,4,1
556,1,1,1,12.0,4,1,2
557,0,1,0,18.0,5,2,3
558,1,1,0,24.0,6,3,4
