experiment_name,scenario_name,N,T,num_runs,weights,sampling_rates,channel_success_probs
scalability,N_5,5,150,2,"[1.0, 2.0, 3.0, 4.0, 5.0]","[0.95, 0.8999999999999999, 0.85, 0.8, 0.75]","[0.95, 0.8875, 0.825, 0.7625, 0.7]"
scalability,N_10,10,150,2,"[1.0, 1.4444444444444444, 1.8888888888888888, 2.333333333333333, 2.7777777777777777, 3.2222222222222223, 3.6666666666666665, 4.111111111111111, 4.555555555555555, 5.0]","[0.95, 0.9277777777777777, 0.9055555555555556, 0.8833333333333333, 0.861111111111111, 0.8388888888888889, 0.8166666666666667, 0.7944444444444445, 0.7722222222222223, 0.75]","[0.95, 0.9222222222222222, 0.8944444444444444, 0.8666666666666666, 0.8388888888888888, 0.8111111111111111, 0.7833333333333333, 0.7555555555555555, 0.7277777777777777, 0.7]"
scalability,N_20,20,150,2,"[1.0, 1.2105263157894737, 1.4210526315789473, 1.631578947368421, 1.8421052631578947, 2.052631578947368, 2.263157894736842, 2.473684210526316, 2.6842105263157894, 2.894736842105263, 3.1052631578947367, 3.3157894736842106, 3.526315789473684, 3.7368421052631575, 3.9473684210526314, 4.157894736842105, 4.368421052631579, 4.578947368421052, 4.789473684210526, 5.0]","[0.95, 0.9394736842105262, 0.9289473684210526, 0.9184210526315789, 0.9078947368421052, 0.8973684210526316, 0.8868421052631579, 0.8763157894736842, 0.8657894736842104, 0.8552631578947368, 0.8447368421052631, 0.8342105263157895, 0.8236842105263158, 0.8131578947368421, 0.8026315789473684, 0.7921052631578948, 0.781578947368421, 0.7710526315789473, 0.7605263157894737, 0.75]","[0.95, 0.9368421052631578, 0.9236842105263158, 0.9105263157894736, 0.8973684210526316, 0.8842105263157894, 0.8710526315789473, 0.8578947368421053, 0.8447368421052631, 0.831578947368421, 0.8184210526315789, 0.8052631578947368, 0.7921052631578946, 0.7789473684210526, 0.7657894736842105, 0.7526315789473683, 0.7394736842105263, 0.7263157894736842, 0.7131578947368421, 0.7]"
scalability,N_50,50,150,2,"[1.0, 1.0816326530612246, 1.163265306122449, 1.2448979591836735, 1.3265306122448979, 1.4081632653061225, 1.489795918367347, 1.5714285714285714, 1.6530612244897958, 1.7346938775510203, 1.816326530612245, 1.8979591836734693, 1.9795918367346939, 2.061224489795918, 2.142857142857143, 2.224489795918367, 2.3061224489795915, 2.387755102040816, 2.4693877551020407, 2.5510204081632653, 2.63265306122449, 2.7142857142857144, 2.7959183673469385, 2.877551020408163, 2.9591836734693877, 3.0408163265306123, 3.1224489795918364, 3.204081632653061, 3.2857142857142856, 3.36734693877551, 3.4489795918367343, 3.530612244897959, 3.6122448979591835, 3.693877551020408, 3.7755102040816326, 3.8571428571428568, 3.9387755102040813, 4.020408163265306, 4.1020408163265305, 4.183673469387754, 4.26530612244898, 4.346938775510203, 4.428571428571429, 4.5102040816326525, 4.591836734693877, 4.673469387755102, 4.755102040816326, 4.836734693877551, 4.918367346938775, 5.0]","[0.95, 0.9459183673469387, 0.9418367346938775, 0.9377551020408162, 0.9336734693877551, 0.9295918367346938, 0.9255102040816326, 0.9214285714285714, 0.9173469387755102, 0.9132653061224489, 0.9091836734693877, 0.9051020408163265, 0.9010204081632652, 0.8969387755102041, 0.8928571428571428, 0.8887755102040816, 0.8846938775510204, 0.8806122448979592, 0.8765306122448979, 0.8724489795918366, 0.8683673469387755, 0.8642857142857142, 0.860204081632653, 0.8561224489795918, 0.8520408163265306, 0.8479591836734693, 0.8438775510204082, 0.8397959183673469, 0.8357142857142856, 0.8316326530612245, 0.8275510204081632, 0.823469387755102, 0.8193877551020408, 0.8153061224489796, 0.8112244897959183, 0.8071428571428572, 0.8030612244897959, 0.7989795918367346, 0.7948979591836735, 0.7908163265306122, 0.786734693877551, 0.7826530612244897, 0.7785714285714286, 0.7744897959183673, 0.7704081632653061, 0.7663265306122449, 0.7622448979591836, 0.7581632653061224, 0.7540816326530613, 0.75]","[0.95, 0.9448979591836735, 0.9397959183673469, 0.9346938775510204, 0.9295918367346938, 0.9244897959183673, 0.9193877551020407, 0.9142857142857143, 0.9091836734693877, 0.9040816326530612, 0.8989795918367347, 0.8938775510204081, 0.8887755102040816, 0.883673469387755, 0.8785714285714286, 0.873469387755102, 0.8683673469387755, 0.8632653061224489, 0.8581632653061224, 0.8530612244897959, 0.8479591836734693, 0.8428571428571429, 0.8377551020408163, 0.8326530612244898, 0.8275510204081632, 0.8224489795918367, 0.8173469387755101, 0.8122448979591836, 0.8071428571428572, 0.8020408163265306, 0.7969387755102041, 0.7918367346938775, 0.786734693877551, 0.7816326530612244, 0.7765306122448979, 0.7714285714285714, 0.7663265306122449, 0.7612244897959184, 0.7561224489795918, 0.7510204081632653, 0.7459183673469387, 0.7408163265306122, 0.7357142857142857, 0.7306122448979592, 0.7255102040816326, 0.7204081632653061, 0.7153061224489796, 0.710204081632653, 0.7051020408163264, 0.7]"
