experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s,avg_aoi_5,peak_aoi_5,weight_5,avg_aoi_6,peak_aoi_6,weight_6,avg_aoi_7,peak_aoi_7,weight_7,avg_aoi_8,peak_aoi_8,weight_8,avg_aoi_9,peak_aoi_9,weight_9,avg_aoi_10,peak_aoi_10,weight_10,avg_aoi_11,peak_aoi_11,weight_11,avg_aoi_12,peak_aoi_12,weight_12,avg_aoi_13,peak_aoi_13,weight_13,avg_aoi_14,peak_aoi_14,weight_14,avg_aoi_15,peak_aoi_15,weight_15,avg_aoi_16,peak_aoi_16,weight_16,avg_aoi_17,peak_aoi_17,weight_17,avg_aoi_18,peak_aoi_18,weight_18,avg_aoi_19,peak_aoi_19,weight_19,avg_aoi_20,peak_aoi_20,weight_20,avg_aoi_21,peak_aoi_21,weight_21,avg_aoi_22,peak_aoi_22,weight_22,avg_aoi_23,peak_aoi_23,weight_23,avg_aoi_24,peak_aoi_24,weight_24,avg_aoi_25,peak_aoi_25,weight_25,avg_aoi_26,peak_aoi_26,weight_26,avg_aoi_27,peak_aoi_27,weight_27,avg_aoi_28,peak_aoi_28,weight_28,avg_aoi_29,peak_aoi_29,weight_29,avg_aoi_30,peak_aoi_30,weight_30,avg_aoi_31,peak_aoi_31,weight_31,avg_aoi_32,peak_aoi_32,weight_32,avg_aoi_33,peak_aoi_33,weight_33,avg_aoi_34,peak_aoi_34,weight_34,avg_aoi_35,peak_aoi_35,weight_35,avg_aoi_36,peak_aoi_36,weight_36,avg_aoi_37,peak_aoi_37,weight_37,avg_aoi_38,peak_aoi_38,weight_38,avg_aoi_39,peak_aoi_39,weight_39,avg_aoi_40,peak_aoi_40,weight_40,avg_aoi_41,peak_aoi_41,weight_41,avg_aoi_42,peak_aoi_42,weight_42,avg_aoi_43,peak_aoi_43,weight_43,avg_aoi_44,peak_aoi_44,weight_44,avg_aoi_45,peak_aoi_45,weight_45,avg_aoi_46,peak_aoi_46,weight_46,avg_aoi_47,peak_aoi_47,weight_47,avg_aoi_48,peak_aoi_48,weight_48,avg_aoi_49,peak_aoi_49,weight_49
scalability,N_20,0,periodic,150,1730.4505263157896,2493.6315789473683,75.5,150.0,1.0,38.913333333333334,89.0,1.2105263157894737,27.14,60.0,1.4210526315789473,50.013333333333335,119.0,1.631578947368421,25.753333333333334,59.0,1.8421052631578947,150.0,3.0,27.425333333333334,0.0003526666666666667,0.0032818999970913865,25.933333333333334,60.0,2.052631578947368,29.773333333333333,70.0,2.263157894736842,25.666666666666668,60.0,2.473684210526316,25.126666666666665,60.0,2.6842105263157894,24.86,59.0,2.894736842105263,29.06,69.0,3.1052631578947367,25.69333333333333,59.0,3.3157894736842106,24.893333333333334,58.0,3.526315789473684,25.966666666666665,58.0,3.7368421052631575,25.886666666666667,58.0,3.9473684210526314,24.886666666666667,58.0,4.157894736842105,24.873333333333335,57.0,4.368421052631579,41.88,101.0,4.578947368421052,24.58,57.0,4.789473684210526,26.533333333333335,59.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,0,greedy,150,915.7712280701754,1450.2105263157894,41.58,97.0,1.0,39.1,85.0,1.2105263157894737,26.94,61.0,1.4210526315789473,26.033333333333335,56.0,1.631578947368421,25.24,53.0,1.8421052631578947,97.0,3.0,11.924,0.002006,0.0020260000019334257,21.586666666666666,54.0,2.052631578947368,20.173333333333332,45.0,2.263157894736842,17.393333333333334,42.0,2.473684210526316,16.706666666666667,40.0,2.6842105263157894,16.326666666666668,40.0,2.894736842105263,13.986666666666666,34.0,3.1052631578947367,13.52,33.0,3.3157894736842106,13.693333333333333,35.0,3.526315789473684,13.013333333333334,28.0,3.7368421052631575,11.946666666666667,29.0,3.9473684210526314,11.813333333333333,29.0,4.157894736842105,10.62,28.0,4.368421052631579,10.546666666666667,25.0,4.578947368421052,10.113333333333333,23.0,4.789473684210526,9.986666666666666,27.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,0,random,150,1500.1796491228067,2194.4736842105262,20.993333333333332,55.0,1.0,12.92,40.0,1.2105263157894737,10.913333333333334,31.0,1.4210526315789473,13.913333333333334,39.0,1.631578947368421,12.186666666666667,43.0,1.8421052631578947,113.0,3.0,27.788666666666664,0.0012933333333333332,0.0019070999987889081,14.526666666666667,38.0,2.052631578947368,15.313333333333333,54.0,2.263157894736842,18.813333333333333,61.0,2.473684210526316,42.44,109.0,2.6842105263157894,24.493333333333332,65.0,2.894736842105263,46.74666666666667,113.0,3.1052631578947367,37.88666666666666,92.0,3.3157894736842106,24.873333333333335,75.0,3.526315789473684,15.626666666666667,46.0,3.7368421052631575,18.793333333333333,49.0,3.9473684210526314,20.433333333333334,63.0,4.157894736842105,28.206666666666667,76.0,4.368421052631579,28.113333333333333,62.0,4.578947368421052,33.06,88.0,4.789473684210526,24.14666666666667,69.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,1,whittle,150,2096.8421052631575,4042.5263157894733,76.5,151.0,1.0,76.5,151.0,1.2105263157894737,76.5,151.0,1.4210526315789473,76.5,151.0,1.631578947368421,76.5,151.0,1.8421052631578947,151.0,3.0,17.163999999999998,0.008860666666666666,0.003760899999178946,76.5,151.0,2.052631578947368,76.5,151.0,2.263157894736842,76.5,151.0,2.473684210526316,76.5,151.0,2.6842105263157894,76.5,151.0,2.894736842105263,76.5,151.0,3.1052631578947367,24.366666666666667,58.0,3.3157894736842106,20.406666666666666,62.0,3.526315789473684,9.373333333333333,27.0,3.7368421052631575,8.246666666666666,28.0,3.9473684210526314,7.806666666666667,28.0,4.157894736842105,6.38,14.0,4.368421052631579,6.126666666666667,14.0,4.578947368421052,6.326666666666667,17.0,4.789473684210526,6.1066666666666665,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,1,round_robin,150,1124.9122807017543,1520.3684210526314,10.166666666666666,20.0,1.0,12.78,40.0,1.2105263157894737,18.473333333333333,60.0,1.4210526315789473,10.046666666666667,20.0,1.631578947368421,36.7,100.0,1.8421052631578947,100.0,3.0,19.273333333333333,0.00016666666666666666,0.0017377000040141866,12.7,40.0,2.052631578947368,10.98,27.0,2.263157894736842,12.74,40.0,2.473684210526316,20.78,60.0,2.6842105263157894,18.166666666666668,60.0,2.894736842105263,10.233333333333333,20.0,3.1052631578947367,12.713333333333333,39.0,3.3157894736842106,28.80666666666667,80.0,3.526315789473684,12.78,40.0,3.7368421052631575,14.9,40.0,3.9473684210526314,28.1,80.0,4.157894736842105,19.18,57.0,4.368421052631579,22.94,58.0,4.578947368421052,23.38,60.0,4.789473684210526,19.7,60.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,1,periodic,150,1558.0508771929822,1981.0526315789473,27.5,60.0,1.0,27.313333333333333,60.0,1.2105263157894737,28.34,63.0,1.4210526315789473,26.413333333333334,60.0,1.631578947368421,26.7,60.0,1.8421052631578947,78.0,3.0,25.436666666666664,0.00018933333333333335,0.001764000000548549,25.933333333333334,60.0,2.052631578947368,25.38,59.0,2.263157894736842,25.666666666666668,60.0,2.473684210526316,24.833333333333332,59.0,2.6842105263157894,32.56,78.0,2.894736842105263,25.38,59.0,3.1052631578947367,25.753333333333334,59.0,3.3157894736842106,25.966666666666665,60.0,3.526315789473684,25.566666666666666,58.0,3.7368421052631575,25.506666666666668,57.0,3.9473684210526314,25.026666666666667,57.0,4.157894736842105,25.36,59.0,4.368421052631579,25.653333333333332,58.0,4.578947368421052,24.72,57.0,4.789473684210526,25.433333333333334,57.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,1,greedy,150,882.3670175438596,1164.6315789473683,39.38,87.0,1.0,38.78,82.0,1.2105263157894737,27.573333333333334,65.0,1.4210526315789473,26.14,58.0,1.631578947368421,22.966666666666665,50.0,1.8421052631578947,87.0,3.0,11.362666666666666,0.002034,0.0023575000013806857,21.726666666666667,50.0,2.052631578947368,19.64666666666667,43.0,2.263157894736842,17.36,40.0,2.473684210526316,16.186666666666667,36.0,2.6842105263157894,15.746666666666666,34.0,2.894736842105263,13.813333333333333,34.0,3.1052631578947367,13.613333333333333,29.0,3.3157894736842106,12.646666666666667,29.0,3.526315789473684,12.08,29.0,3.7368421052631575,11.906666666666666,26.0,3.9473684210526314,10.62,26.0,4.157894736842105,10.533333333333333,27.0,4.368421052631579,9.846666666666666,24.0,4.578947368421052,9.466666666666667,22.0,4.789473684210526,9.1,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,1,random,150,1574.6105263157892,2282.6315789473683,28.92,88.0,1.0,20.46,62.0,1.2105263157894737,18.28,51.0,1.4210526315789473,20.906666666666666,52.0,1.631578947368421,10.933333333333334,31.0,1.8421052631578947,151.0,3.0,30.41466666666667,0.0012606666666666667,0.0019097000040346757,27.08,79.0,2.052631578947368,18.733333333333334,57.0,2.263157894736842,18.9,59.0,2.473684210526316,13.686666666666667,44.0,2.6842105263157894,13.18,35.0,2.894736842105263,38.00666666666667,76.0,3.1052631578947367,15.446666666666667,44.0,3.3157894736842106,21.086666666666666,59.0,3.526315789473684,32.64666666666667,92.0,3.7368421052631575,76.5,151.0,3.9473684210526314,26.14666666666667,61.0,4.157894736842105,20.226666666666667,49.0,4.368421052631579,14.733333333333333,46.0,4.578947368421052,37.04666666666667,98.0,4.789473684210526,22.30666666666667,66.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_50,0,whittle,150,8669.177551020408,16119.816326530612,76.5,151.0,1.0,76.5,151.0,1.0816326530612246,76.5,151.0,1.163265306122449,76.5,151.0,1.2448979591836735,76.5,151.0,1.3265306122448979,151.0,3.0,52.51626666666667,0.022066,0.00818769999750657,76.5,151.0,1.4081632653061225,76.5,151.0,1.489795918367347,76.5,151.0,1.5714285714285714,76.5,151.0,1.6530612244897958,76.5,151.0,1.7346938775510203,76.5,151.0,1.816326530612245,76.5,151.0,1.8979591836734693,76.5,151.0,1.9795918367346939,76.5,151.0,2.061224489795918,76.5,151.0,2.142857142857143,76.5,151.0,2.224489795918367,76.5,151.0,2.3061224489795915,76.5,151.0,2.387755102040816,76.5,151.0,2.4693877551020407,76.5,151.0,2.5510204081632653,76.5,151.0,2.63265306122449,76.5,151.0,2.7142857142857144,76.5,151.0,2.7959183673469385,76.5,151.0,2.877551020408163,76.5,151.0,2.9591836734693877,76.5,151.0,3.0408163265306123,76.5,151.0,3.1224489795918364,76.5,151.0,3.204081632653061,76.5,151.0,3.2857142857142856,76.5,151.0,3.36734693877551,76.5,151.0,3.4489795918367343,76.5,151.0,3.530612244897959,76.5,151.0,3.6122448979591835,76.5,151.0,3.693877551020408,76.5,151.0,3.7755102040816326,76.5,151.0,3.8571428571428568,76.5,151.0,3.9387755102040813,76.5,151.0,4.020408163265306,76.5,151.0,4.1020408163265305,76.5,151.0,4.183673469387754,62.1,135.0,4.26530612244898,23.68,65.0,4.346938775510203,17.046666666666667,41.0,4.428571428571429,13.82,41.0,4.5102040816326525,11.793333333333333,41.0,4.591836734693877,8.366666666666667,27.0,4.673469387755102,8.22,26.0,4.755102040816326,7.053333333333334,17.0,4.836734693877551,6.946666666666666,16.0,4.918367346938775,6.38,14.0,5.0
scalability,N_50,0,round_robin,150,6042.37387755102,8680.612244897959,25.5,50.0,1.0,25.18,50.0,1.0816326530612246,24.873333333333335,50.0,1.163265306122449,25.913333333333334,54.0,1.2448979591836735,25.966666666666665,55.0,1.3265306122448979,151.0,3.0,42.10906666666667,0.00018,0.003435999999055639,39.03333333333333,95.0,1.4081632653061225,40.446666666666665,100.0,1.489795918367347,40.20666666666666,100.0,1.5714285714285714,23.313333333333333,50.0,1.6530612244897958,23.1,50.0,1.7346938775510203,36.233333333333334,90.0,1.816326530612245,47.38,112.0,1.8979591836734693,35.20666666666666,88.0,1.9795918367346939,22.38,50.0,2.061224489795918,76.5,151.0,2.142857142857143,22.1,50.0,2.224489795918367,38.64666666666667,100.0,2.3061224489795915,21.873333333333335,50.0,2.387755102040816,38.446666666666665,100.0,2.4693877551020407,21.7,50.0,2.5510204081632653,21.633333333333333,50.0,2.63265306122449,38.24666666666667,100.0,2.7142857142857144,38.20666666666666,100.0,2.7959183673469385,54.18,124.0,2.877551020408163,29.833333333333332,75.0,2.9591836734693877,38.166666666666664,100.0,3.0408163265306123,54.18,124.0,3.1224489795918364,38.20666666666666,100.0,3.204081632653061,28.913333333333334,72.0,3.2857142857142856,21.633333333333333,50.0,3.36734693877551,32.03333333333333,81.0,3.4489795918367343,28.113333333333333,69.0,3.530612244897959,38.873333333333335,83.0,3.6122448979591835,21.98,50.0,3.693877551020408,39.1,85.0,3.7755102040816326,34.233333333333334,86.0,3.8571428571428568,39.38,87.0,3.9387755102040813,22.54,50.0,4.020408163265306,39.38,100.0,4.1020408163265305,76.5,151.0,4.183673469387754,39.766666666666666,100.0,4.26530612244898,37.31333333333333,92.0,4.346938775510203,76.5,151.0,4.428571428571429,45.11333333333334,107.0,4.5102040816326525,26.033333333333335,56.0,4.591836734693877,24.3,50.0,4.673469387755102,25.913333333333334,54.0,4.755102040816326,73.54,148.0,4.836734693877551,74.51333333333334,149.0,4.918367346938775,76.5,151.0,5.0
