experiment_name,scenario_name,N,T,num_runs,weights,sampling_rates,channel_success_probs
weight_sensitivity,high_w_2,5,3000,10,"[1.0, 1.0, 1.0, 1.0, 2.0]","[0.95, 0.92, 0.88, 0.84, 0.8]","[0.92, 0.88, 0.84, 0.8, 0.76]"
weight_sensitivity,high_w_4,5,3000,10,"[1.0, 1.0, 1.0, 1.0, 4.0]","[0.95, 0.92, 0.88, 0.84, 0.8]","[0.92, 0.88, 0.84, 0.8, 0.76]"
weight_sensitivity,high_w_6,5,3000,10,"[1.0, 1.0, 1.0, 1.0, 6.0]","[0.95, 0.92, 0.88, 0.84, 0.8]","[0.92, 0.88, 0.84, 0.8, 0.76]"
weight_sensitivity,high_w_8,5,3000,10,"[1.0, 1.0, 1.0, 1.0, 8.0]","[0.95, 0.92, 0.88, 0.84, 0.8]","[0.92, 0.88, 0.84, 0.8, 0.76]"
weight_sensitivity,high_w_10,5,3000,10,"[1.0, 1.0, 1.0, 1.0, 10.0]","[0.95, 0.92, 0.88, 0.84, 0.8]","[0.92, 0.88, 0.84, 0.8, 0.76]"
