experiment_name,scenario_name,strategy,slots_mean,average_weighted_aoi_mean,peak_weighted_aoi_mean,avg_aoi_0_mean,peak_aoi_0_mean,weight_0_mean,avg_aoi_1_mean,peak_aoi_1_mean,weight_1_mean,avg_aoi_2_mean,peak_aoi_2_mean,weight_2_mean,avg_aoi_3_mean,peak_aoi_3_mean,weight_3_mean,avg_aoi_4_mean,peak_aoi_4_mean,weight_4_mean,system_peak_aoi_mean,high_weight_threshold_mean,high_weight_avg_aoi_mean,avg_decision_time_ms_mean,total_runtime_s_mean,slots_std,average_weighted_aoi_std,peak_weighted_aoi_std,avg_aoi_0_std,peak_aoi_0_std,weight_0_std,avg_aoi_1_std,peak_aoi_1_std,weight_1_std,avg_aoi_2_std,peak_aoi_2_std,weight_2_std,avg_aoi_3_std,peak_aoi_3_std,weight_3_std,avg_aoi_4_std,peak_aoi_4_std,weight_4_std,system_peak_aoi_std,high_weight_threshold_std,high_weight_avg_aoi_std,avg_decision_time_ms_std,total_runtime_s_std,high_priority_weight
weight_sensitivity,high_w_10,greedy,3000.0,53.077733333333335,152.7,8.2589,25.1,1.0,8.267900000000001,25.9,1.0,8.269566666666666,26.7,1.0,8.278699999999999,27.8,1.0,2.0002666666666666,9.4,10.0,28.4,2.0,2.0002666666666666,0.0007025118666666667,0.01418665120145306,0.0,0.9143641603747266,12.474373731775072,0.15232254155792793,0.9433981132056604,0.0,0.1628034295298067,2.118962010041709,0.0,0.1715712388484737,3.0016662039607267,0.0,0.18668633527330772,3.4292856398964493,0.0,0.03600734492973462,0.9165151389911681,0.0,3.104834939252005,0.0,0.03600734492973462,4.105620110693762e-06,8.707425725579723e-05,10.0
weight_sensitivity,high_w_10,periodic,3000.0,72.18786666666666,190.4,9.450533333333334,46.2,1.0,10.880666666666666,58.8,1.0,12.8052,63.0,1.0,13.845133333333333,77.0,1.0,2.5206333333333335,12.9,10.0,82.6,2.0,2.5206333333333335,0.00012037953333333333,0.012389843014534562,0.0,1.9954485499645325,23.72846391994223,0.38387808249784466,8.964373932405989,0.0,0.8473926546242365,10.476640682967037,0.0,0.8288877581165955,7.000000000000004,0.0,1.6522049119619244,24.44994887520217,0.0,0.03761218774103232,1.5132745950421556,0.0,20.239565212721345,0.0,0.03761218774103232,1.814296283533765e-06,0.00010934511991757838,10.0
weight_sensitivity,high_w_10,random,3000.0,105.0273,472.0,5.769333333333334,37.9,1.0,6.2226,38.8,1.0,6.939866666666667,47.3,1.0,7.5535,50.5,1.0,7.8542000000000005,44.7,10.0,57.9,2.0,7.8542000000000005,0.0013452919333333333,0.016395267192274333,0.0,5.655637045265346,70.57336608097987,0.27932549710567683,8.584287972802406,0.0,0.21399531666734084,4.512205669071391,0.0,0.5572802446804579,11.340634902861481,0.0,0.370201244070183,9.069178573608527,0.0,0.5587690478980463,7.694803441284254,0.0,7.395268757793729,0.0,0.5587690478980463,8.160038328886006e-06,0.000159280377251058,10.0
weight_sensitivity,high_w_10,round_robin,3000.0,81.70183333333333,451.5,3.769833333333333,21.0,1.0,4.119166666666667,23.0,1.0,4.700666666666667,26.5,1.0,5.3655,32.0,1.0,6.374666666666667,43.5,10.0,44.0,2.0,6.374666666666667,0.0001225372,0.012608656485099345,0.0,3.402071872811888,86.08280896903864,0.11639838200479137,3.0,0.0,0.1296479206672183,3.3166247903554003,0.0,0.16150472989289746,3.2015621187164243,0.0,0.1373427383510968,4.58257569495584,0.0,0.3359942129131262,8.958236433584458,0.0,8.602325267042627,0.0,0.3359942129131262,2.4162153196913314e-06,0.0001410198211652224,10.0
weight_sensitivity,high_w_10,whittle,3000.0,47.238800000000005,152.1,5.6335,18.4,1.0,5.673066666666666,18.4,1.0,5.700866666666666,19.6,1.0,5.722366666666667,18.3,1.0,2.4509,10.3,10.0,19.9,2.0,2.4509,0.0029397521000000004,0.02222899260232225,0.0,0.64566025121576,17.660407696313243,0.07401970458375712,2.0099751242241783,0.0,0.07149324754439704,1.5620499351813306,0.0,0.07936556768103771,1.9595917942265422,0.0,0.08106162950359315,1.268857754044952,0.0,0.036537362916457004,1.1000000000000003,0.0,1.7000000000000004,0.0,0.036537362916457004,1.8803892168053295e-05,0.00017492275755467908,10.0
weight_sensitivity,high_w_2,greedy,3000.0,25.418266666666668,71.9,4.8941,17.5,1.0,4.8994333333333335,17.5,1.0,4.907866666666667,17.1,1.0,4.8894,17.1,1.0,2.9137333333333335,12.0,2.0,18.7,2.0,2.9137333333333335,0.0007062697333333333,0.014206024375744164,0.0,0.23312880559896476,9.65867485734974,0.033505571675966364,1.6278820596099701,0.0,0.04504394150900499,1.4317821063276355,0.0,0.041512300720522574,1.445683229480096,0.0,0.041277058465393916,1.6401219466856727,0.0,0.043796955754177025,1.6124515496597098,0.0,1.5524174696260027,0.0,0.043796955754177025,1.8924781155347016e-06,9.289281000429906e-05,2.0
weight_sensitivity,high_w_2,periodic,3000.0,29.64773333333333,78.6,4.3412,23.4,1.0,5.0334666666666665,28.2,1.0,5.607,31.8,1.0,6.1506,34.2,1.0,4.257733333333333,24.6,2.0,36.6,2.0,4.257733333333333,0.00012447009999999999,0.01241689989110455,0.0,0.5256306434496886,6.575712889109437,0.13697357409369137,4.199999999999999,0.0,0.18128474839323927,5.4,0.0,0.214131268151104,6.6,0.0,0.18613339302768875,6.029925372672534,0.0,0.20753643856762427,2.9393876913398143,0.0,6.26418390534633,0.0,0.20753643856762427,3.4027990538835974e-06,0.00010444203373672213,2.0
weight_sensitivity,high_w_2,random,3000.0,42.30526666666667,122.9,5.715533333333333,33.5,1.0,6.047233333333333,35.1,1.0,6.754033333333334,42.0,1.0,7.2184,41.3,1.0,8.285033333333335,49.6,2.0,53.1,2.0,8.285033333333335,0.0013470535333333334,0.01627617422491312,0.0,0.6133184925740738,11.121600604229592,0.3650831016509958,3.1384709652950438,0.0,0.3462862351677679,4.805205510693585,0.0,0.39564061835065545,9.969954864491616,0.0,0.3319057362833275,6.293647591023825,0.0,0.46009389017653524,5.782732917920384,0.0,6.10655385630881,0.0,0.46009389017653524,1.0202307658564277e-05,0.0001856492301370326,2.0
weight_sensitivity,high_w_2,round_robin,3000.0,30.230833333333333,94.6,3.7541666666666664,20.0,1.0,4.195166666666667,24.0,1.0,4.768166666666667,28.0,1.0,5.337999999999999,34.0,1.0,6.087666666666666,36.0,2.0,37.5,2.0,6.087666666666666,0.00012247693333333333,0.012536019319668412,0.0,0.648462390753868,6.681317235396025,0.04000867961385934,3.1622776601683795,0.0,0.12255848943803671,2.9999999999999996,0.0,0.1658949634223077,4.0,0.0,0.14461481405597582,6.244997998398397,0.0,0.3629249999043265,3.7416573867739413,0.0,5.5901699437494745,0.0,0.3629249999043265,2.649784497736463e-06,9.713595725480933e-05,2.0
weight_sensitivity,high_w_2,whittle,3000.0,24.7852,67.8,4.325833333333334,14.9,1.0,4.3350333333333335,14.9,1.0,4.3547666666666665,15.7,1.0,4.3758333333333335,16.1,1.0,3.6968666666666663,12.8,2.0,16.5,2.0,3.6968666666666663,0.002906410066666667,0.021840029093436897,0.0,0.26790521541105655,6.838128398911508,0.03817539929209802,0.9433981132056604,0.0,0.0434381936395456,1.1357816691600546,0.0,0.04381908513675545,1.1874342087037917,0.0,0.04653869357856959,1.1357816691600544,0.0,0.0538395146090056,0.9797958971132713,0.0,1.02469507659596,0.0,0.0538395146090056,1.7184993629973358e-05,7.331798260125732e-05,2.0
