experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
weight_sensitivity,high_w_2,3,greedy,3000,25.014333333333333,56.0,4.826333333333333,17.0,1.0,4.8213333333333335,15.0,1.0,4.8533333333333335,15.0,1.0,4.8406666666666665,15.0,1.0,2.836333333333333,9.0,2.0,17.0,2.0,2.836333333333333,0.00070674,0.014155878918245435
weight_sensitivity,high_w_2,3,random,3000,41.601333333333336,118.0,5.218666666666667,28.0,1.0,6.007333333333333,30.0,1.0,6.824333333333334,51.0,1.0,6.698333333333333,33.0,1.0,8.426333333333334,51.0,2.0,51.0,2.0,8.426333333333334,0.0013539636666666667,0.016242637997493148
weight_sensitivity,high_w_2,4,whittle,3000,24.441,61.0,4.264333333333333,14.0,1.0,4.279,13.0,1.0,4.283,16.0,1.0,4.335333333333334,16.0,1.0,3.639666666666667,13.0,2.0,16.0,2.0,3.639666666666667,0.002942636666666667,0.021941595943644643
weight_sensitivity,high_w_2,4,round_robin,3000,29.901666666666667,90.0,3.7666666666666666,20.0,1.0,4.155666666666667,25.0,1.0,4.640333333333333,25.0,1.0,5.322333333333333,35.0,1.0,6.008333333333334,40.0,2.0,40.0,2.0,6.008333333333334,0.000122284,0.012368184048682451
weight_sensitivity,high_w_2,4,periodic,3000,29.038,74.0,4.52,24.0,1.0,4.938666666666666,24.0,1.0,5.474,30.0,1.0,6.026,30.0,1.0,4.039666666666666,23.0,2.0,30.0,2.0,4.039666666666666,0.000121825,0.012278790003620088
weight_sensitivity,high_w_2,4,greedy,3000,25.177,60.0,4.871666666666667,16.0,1.0,4.875333333333334,17.0,1.0,4.871,15.0,1.0,4.849666666666667,15.0,1.0,2.8546666666666667,11.0,2.0,17.0,2.0,2.8546666666666667,0.0007059623333333332,0.014221805962733924
weight_sensitivity,high_w_2,4,random,3000,42.227666666666664,134.0,5.46,32.0,1.0,5.873333333333333,31.0,1.0,6.071666666666666,34.0,1.0,7.084666666666666,34.0,1.0,8.869,59.0,2.0,59.0,2.0,8.869,0.0013492106666666665,0.016180454986169934
weight_sensitivity,high_w_2,5,whittle,3000,24.738,60.0,4.313,14.0,1.0,4.321,14.0,1.0,4.328333333333333,14.0,1.0,4.365666666666667,15.0,1.0,3.705,12.0,2.0,15.0,2.0,3.705,0.0028980169999999997,0.02172852400690317
weight_sensitivity,high_w_2,5,round_robin,3000,30.356666666666666,87.0,3.7583333333333333,20.0,1.0,4.469,30.0,1.0,4.843666666666667,30.0,1.0,5.399,30.0,1.0,5.943333333333333,35.0,2.0,35.0,2.0,5.943333333333333,0.00011801333333333333,0.012652802979573607
weight_sensitivity,high_w_2,5,periodic,3000,29.779333333333334,80.0,4.268,18.0,1.0,5.230666666666667,30.0,1.0,5.946,42.0,1.0,6.342,36.0,1.0,3.9963333333333333,19.0,2.0,42.0,2.0,3.9963333333333333,0.00012437133333333334,0.012334752944298089
weight_sensitivity,high_w_2,5,greedy,3000,25.555333333333333,67.0,4.898,15.0,1.0,4.929666666666667,17.0,1.0,4.965333333333334,16.0,1.0,4.920333333333334,16.0,1.0,2.921,11.0,2.0,17.0,2.0,2.921,0.0007054666666666667,0.014291238971054554
weight_sensitivity,high_w_2,5,random,3000,42.409,117.0,5.266666666666667,35.0,1.0,5.658,43.0,1.0,6.787,39.0,1.0,7.088,44.0,1.0,8.804666666666666,52.0,2.0,52.0,2.0,8.804666666666666,0.0013289756666666668,0.016207591048441827
weight_sensitivity,high_w_2,6,whittle,3000,25.090666666666667,78.0,4.363333333333333,16.0,1.0,4.358333333333333,15.0,1.0,4.406666666666666,16.0,1.0,4.423666666666667,16.0,1.0,3.7693333333333334,14.0,2.0,16.0,2.0,3.7693333333333334,0.0029093866666666667,0.02189971401821822
weight_sensitivity,high_w_2,6,round_robin,3000,29.561666666666667,102.0,3.8,15.0,1.0,4.302333333333333,25.0,1.0,4.642,30.0,1.0,5.494,35.0,1.0,5.661666666666667,35.0,2.0,35.0,2.0,5.661666666666667,0.00011880766666666666,0.012464264989830554
weight_sensitivity,high_w_2,6,periodic,3000,29.697333333333333,82.0,4.328,30.0,1.0,4.882666666666666,24.0,1.0,5.322,30.0,1.0,6.222,36.0,1.0,4.471333333333333,25.0,2.0,36.0,2.0,4.471333333333333,0.00013315833333333332,0.012698629987426102
weight_sensitivity,high_w_2,6,greedy,3000,25.192666666666668,85.0,4.859333333333334,21.0,1.0,4.841333333333333,17.0,1.0,4.862,17.0,1.0,4.824666666666666,17.0,1.0,2.9026666666666667,14.0,2.0,21.0,2.0,2.9026666666666667,0.000704726,0.014231275068596005
weight_sensitivity,high_w_2,6,random,3000,41.10633333333333,107.0,6.031666666666666,36.0,1.0,6.941666666666666,45.0,1.0,6.757666666666666,47.0,1.0,6.96,43.0,1.0,7.207666666666666,40.0,2.0,47.0,2.0,7.207666666666666,0.00133215,0.016153217060491443
weight_sensitivity,high_w_2,7,whittle,3000,25.160666666666668,75.0,4.375666666666667,15.0,1.0,4.3966666666666665,16.0,1.0,4.400333333333333,17.0,1.0,4.445333333333333,16.0,1.0,3.771333333333333,14.0,2.0,17.0,2.0,3.771333333333333,0.0028978456666666668,0.021846504998393357
weight_sensitivity,high_w_2,7,round_robin,3000,30.866666666666667,105.0,3.6666666666666665,20.0,1.0,4.224,25.0,1.0,4.873666666666667,30.0,1.0,5.402333333333333,40.0,1.0,6.35,40.0,2.0,40.0,2.0,6.35,0.00011988066666666667,0.012575283064506948
weight_sensitivity,high_w_2,7,periodic,3000,29.769333333333332,76.0,4.34,24.0,1.0,5.034666666666666,30.0,1.0,5.514,24.0,1.0,6.176,30.0,1.0,4.352333333333333,24.0,2.0,30.0,2.0,4.352333333333333,0.00012400566666666667,0.012397145037539303
weight_sensitivity,high_w_2,7,greedy,3000,25.763333333333332,77.0,4.938,18.0,1.0,4.953,18.0,1.0,4.947333333333333,19.0,1.0,4.942333333333333,21.0,1.0,2.9913333333333334,12.0,2.0,21.0,2.0,2.9913333333333334,0.0007068933333333333,0.014106780989095569
weight_sensitivity,high_w_2,7,random,3000,43.29366666666667,146.0,5.565333333333333,36.0,1.0,6.328666666666667,33.0,1.0,6.873333333333333,41.0,1.0,7.191,52.0,1.0,8.667666666666667,57.0,2.0,57.0,2.0,8.667666666666667,0.0013414149999999999,0.016349105979315937
weight_sensitivity,high_w_2,8,whittle,3000,24.85033333333333,70.0,4.326666666666667,15.0,1.0,4.353,16.0,1.0,4.371666666666667,17.0,1.0,4.374333333333333,15.0,1.0,3.7123333333333335,12.0,2.0,17.0,2.0,3.7123333333333335,0.002909719666666667,0.021857994026504457
weight_sensitivity,high_w_2,8,round_robin,3000,29.973333333333333,95.0,3.7583333333333333,20.0,1.0,4.232333333333333,20.0,1.0,4.990333333333333,35.0,1.0,5.352333333333333,30.0,1.0,5.82,35.0,2.0,35.0,2.0,5.82,0.00012245300000000001,0.012464003055356443
weight_sensitivity,high_w_2,8,periodic,3000,29.365333333333332,70.0,4.22,18.0,1.0,5.118666666666667,24.0,1.0,5.838,36.0,1.0,5.882,30.0,1.0,4.153333333333333,25.0,2.0,36.0,2.0,4.153333333333333,0.00012388266666666666,0.01241737196687609
weight_sensitivity,high_w_2,8,greedy,3000,25.517666666666667,66.0,4.923333333333333,16.0,1.0,4.933333333333334,16.0,1.0,4.913,17.0,1.0,4.931333333333333,17.0,1.0,2.908333333333333,11.0,2.0,17.0,2.0,2.908333333333333,0.0007050626666666666,0.014289901009760797
weight_sensitivity,high_w_2,8,random,3000,42.523666666666664,118.0,6.086666666666667,37.0,1.0,5.738333333333333,33.0,1.0,6.699666666666666,36.0,1.0,7.293666666666667,41.0,1.0,8.352666666666666,48.0,2.0,48.0,2.0,8.352666666666666,0.0013569763333333333,0.01666196109727025
