experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s,avg_aoi_5,peak_aoi_5,weight_5,avg_aoi_6,peak_aoi_6,weight_6,avg_aoi_7,peak_aoi_7,weight_7,avg_aoi_8,peak_aoi_8,weight_8,avg_aoi_9,peak_aoi_9,weight_9,avg_aoi_10,peak_aoi_10,weight_10,avg_aoi_11,peak_aoi_11,weight_11,avg_aoi_12,peak_aoi_12,weight_12,avg_aoi_13,peak_aoi_13,weight_13,avg_aoi_14,peak_aoi_14,weight_14,avg_aoi_15,peak_aoi_15,weight_15,avg_aoi_16,peak_aoi_16,weight_16,avg_aoi_17,peak_aoi_17,weight_17,avg_aoi_18,peak_aoi_18,weight_18,avg_aoi_19,peak_aoi_19,weight_19,avg_aoi_20,peak_aoi_20,weight_20,avg_aoi_21,peak_aoi_21,weight_21,avg_aoi_22,peak_aoi_22,weight_22,avg_aoi_23,peak_aoi_23,weight_23,avg_aoi_24,peak_aoi_24,weight_24,avg_aoi_25,peak_aoi_25,weight_25,avg_aoi_26,peak_aoi_26,weight_26,avg_aoi_27,peak_aoi_27,weight_27,avg_aoi_28,peak_aoi_28,weight_28,avg_aoi_29,peak_aoi_29,weight_29,avg_aoi_30,peak_aoi_30,weight_30,avg_aoi_31,peak_aoi_31,weight_31,avg_aoi_32,peak_aoi_32,weight_32,avg_aoi_33,peak_aoi_33,weight_33,avg_aoi_34,peak_aoi_34,weight_34,avg_aoi_35,peak_aoi_35,weight_35,avg_aoi_36,peak_aoi_36,weight_36,avg_aoi_37,peak_aoi_37,weight_37,avg_aoi_38,peak_aoi_38,weight_38,avg_aoi_39,peak_aoi_39,weight_39,avg_aoi_40,peak_aoi_40,weight_40,avg_aoi_41,peak_aoi_41,weight_41,avg_aoi_42,peak_aoi_42,weight_42,avg_aoi_43,peak_aoi_43,weight_43,avg_aoi_44,peak_aoi_44,weight_44,avg_aoi_45,peak_aoi_45,weight_45,avg_aoi_46,peak_aoi_46,weight_46,avg_aoi_47,peak_aoi_47,weight_47,avg_aoi_48,peak_aoi_48,weight_48,avg_aoi_49,peak_aoi_49,weight_49
scalability,N_20,3,round_robin,2000,1245.971052631579,2640.5263157894733,12.9,60.0,1.0,13.291,60.0,1.2105263157894737,13.883,60.0,1.4210526315789473,15.476,80.0,1.631578947368421,15.67,80.0,1.8421052631578947,120.0,3.0,22.692500000000003,0.000155845,0.020701232948340476,15.065,60.0,2.052631578947368,17.201,80.0,2.263157894736842,19.188,120.0,2.473684210526316,17.036,60.0,2.6842105263157894,17.855,100.0,2.894736842105263,19.265,80.0,3.1052631578947367,22.456,100.0,3.3157894736842106,22.738,100.0,3.526315789473684,19.061,80.0,3.7368421052631575,22.105,120.0,3.9473684210526314,24.92,100.0,4.157894736842105,23.486,100.0,4.368421052631579,23.713,120.0,4.578947368421052,24.881,120.0,4.789473684210526,24.3,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,3,periodic,2000,1851.0463157894737,2708.2105263157896,37.5,120.0,1.0,35.691,120.0,1.2105263157894737,44.683,180.0,1.4210526315789473,29.442,60.0,1.631578947368421,33.269,120.0,1.8421052631578947,180.0,3.0,29.872899999999998,0.000144217,0.01919021300273016,29.6625,61.0,2.052631578947368,33.29,119.0,2.263157894736842,35.032,120.0,2.473684210526316,30.565,118.0,2.6842105263157894,30.9025,119.0,2.894736842105263,32.7095,120.0,3.1052631578947367,30.581,118.0,3.3157894736842106,31.9695,118.0,3.526315789473684,28.297,60.0,3.7368421052631575,30.179,117.0,3.9473684210526314,30.4315,120.0,4.157894736842105,30.174,117.0,4.368421052631579,27.379,60.0,4.578947368421052,29.3945,118.0,4.789473684210526,27.614,61.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,3,greedy,2000,970.8682105263157,1694.157894736842,46.771,121.0,1.0,37.8675,92.0,1.2105263157894737,32.4545,85.0,1.4210526315789473,28.3245,78.0,1.631578947368421,25.253,64.0,1.8421052631578947,121.0,3.0,12.633149999999999,0.0018516485,0.023220672039315104,22.8175,62.0,2.052631578947368,20.9395,54.0,2.263157894736842,19.123,50.0,2.473684210526316,17.9285,51.0,2.6842105263157894,16.4295,43.0,2.894736842105263,15.715,41.0,3.1052631578947367,14.9395,41.0,3.3157894736842106,13.882,39.0,3.526315789473684,13.1535,37.0,3.7368421052631575,12.4805,33.0,3.9473684210526314,11.9735,34.0,4.157894736842105,11.516,29.0,4.368421052631579,11.1165,29.0,4.578947368421052,10.832,29.0,4.789473684210526,10.723,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,3,random,2000,1862.672763157895,3157.4736842105262,20.727,82.0,1.0,29.8855,170.0,1.2105263157894737,22.8245,111.0,1.4210526315789473,21.577,95.0,1.631578947368421,25.8115,126.0,1.8421052631578947,202.0,3.0,32.767199999999995,0.0014215755,0.021511102037038654,22.383,154.0,2.052631578947368,30.14,128.0,2.263157894736842,30.657,183.0,2.473684210526316,27.689,140.0,2.6842105263157894,24.519,129.0,2.894736842105263,28.985,171.0,3.1052631578947367,21.986,93.0,3.3157894736842106,30.038,113.0,3.526315789473684,33.2735,202.0,3.7368421052631575,25.45,119.0,3.9473684210526314,38.929,181.0,4.157894736842105,32.5815,180.0,4.368421052631579,37.199,184.0,4.578947368421052,42.8085,188.0,4.789473684210526,36.4215,198.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,4,whittle,2000,892.2432105263157,1335.4736842105262,22.082,56.0,1.0,20.802,57.0,1.2105263157894737,19.198,50.0,1.4210526315789473,18.1675,46.0,1.631578947368421,17.502,44.0,1.8421052631578947,57.0,3.0,14.0177,0.0096275415,0.03934157598996535,16.471,43.0,2.052631578947368,15.767,41.0,2.263157894736842,15.039,39.0,2.473684210526316,14.844,37.0,2.6842105263157894,14.6315,36.0,2.894736842105263,14.459,35.0,3.1052631578947367,14.3075,37.0,3.3157894736842106,14.106,37.0,3.526315789473684,14.065,36.0,3.7368421052631575,13.9635,35.0,3.9473684210526314,13.9155,36.0,4.157894736842105,13.8465,35.0,4.368421052631579,13.8585,37.0,4.578947368421052,13.8575,35.0,4.789473684210526,13.798,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,4,round_robin,2000,1281.0573684210526,2481.578947368421,13.7,60.0,1.0,13.281,60.0,1.2105263157894737,14.923,60.0,1.4210526315789473,16.046,100.0,1.631578947368421,15.27,60.0,1.8421052631578947,200.0,3.0,23.6225,0.0001347885,0.018274964997544885,15.665,60.0,2.052631578947368,15.861,60.0,2.263157894736842,15.858,60.0,2.473684210526316,20.696,100.0,2.6842105263157894,15.565,100.0,2.894736842105263,21.855,120.0,3.1052631578947367,21.456,100.0,3.3157894736842106,19.258,80.0,3.526315789473684,19.061,100.0,3.7368421052631575,28.765,200.0,3.9473684210526314,24.07,120.0,4.157894736842105,23.876,120.0,4.368421052631579,29.893,140.0,4.578947368421052,23.891,100.0,4.789473684210526,24.1,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,4,periodic,2000,1839.5432368421052,2435.5263157894738,39.3,120.0,1.0,33.891,120.0,1.2105263157894737,40.633,183.0,1.4210526315789473,29.4795,60.0,1.631578947368421,31.3495,119.0,1.8421052631578947,183.0,3.0,29.830199999999998,0.000137952,0.018122066045179963,33.2025,120.0,2.052631578947368,29.661,61.0,2.263157894736842,31.526,119.0,2.473684210526316,30.715,120.0,2.6842105263157894,30.989,118.0,2.894736842105263,30.999,120.0,3.1052631578947367,28.9305,61.0,3.3157894736842106,28.218,61.0,3.526315789473684,28.3875,61.0,3.7368421052631575,30.0575,118.0,3.9473684210526314,32.026,120.0,4.157894736842105,30.2305,118.0,4.368421052631579,29.457,117.0,4.578947368421052,29.88,120.0,4.789473684210526,30.116,118.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,4,greedy,2000,968.4844210526315,1558.6315789473683,44.7875,116.0,1.0,37.172,97.0,1.2105263157894737,32.302,81.0,1.4210526315789473,29.283,82.0,1.631578947368421,25.3545,65.0,1.8421052631578947,116.0,3.0,12.59035,0.001693835,0.021678422985132784,22.7955,60.0,2.052631578947368,21.2875,57.0,2.263157894736842,19.107,53.0,2.473684210526316,17.705,43.0,2.6842105263157894,16.4665,42.0,2.894736842105263,15.2665,40.0,3.1052631578947367,14.859,41.0,3.3157894736842106,13.8715,37.0,3.526315789473684,13.319,38.0,3.7368421052631575,12.502,36.0,3.9473684210526314,11.9575,32.0,4.157894736842105,11.3895,31.0,4.368421052631579,11.1515,32.0,4.578947368421052,10.881,32.0,4.789473684210526,10.706,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_20,4,random,2000,1902.272289473684,3930.578947368421,23.2,109.0,1.0,22.596,106.0,1.2105263157894737,17.348,78.0,1.4210526315789473,18.724,89.0,1.631578947368421,20.684,85.0,1.8421052631578947,241.0,3.0,34.553450000000005,0.0014002819999999999,0.0208034020033665,27.763,178.0,2.052631578947368,26.652,149.0,2.263157894736842,21.4705,121.0,2.473684210526316,30.0975,162.0,2.6842105263157894,29.475,128.0,2.894736842105263,27.7425,134.0,3.1052631578947367,32.2025,189.0,3.3157894736842106,26.316,112.0,3.526315789473684,33.7025,163.0,3.7368421052631575,37.565,140.0,3.9473684210526314,31.2715,138.0,4.157894736842105,37.5855,160.0,4.368421052631579,45.778,239.0,4.578947368421052,41.521,241.0,4.789473684210526,31.85,160.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_50,0,whittle,2000,5572.1158877551015,7523.551020408163,85.888,281.0,1.0,70.5405,229.0,1.0816326530612246,67.825,211.0,1.163265306122449,57.0525,215.0,1.2448979591836735,50.114,118.0,1.3265306122448979,281.0,3.0,34.157680000000006,0.021267313,0.08145191497169435,49.206,127.0,1.4081632653061225,48.466,135.0,1.489795918367347,46.742,122.0,1.5714285714285714,45.298,124.0,1.6530612244897958,44.358,106.0,1.7346938775510203,43.7895,98.0,1.816326530612245,42.429,97.0,1.8979591836734693,42.416,96.0,1.9795918367346939,41.4245,96.0,2.061224489795918,41.0275,95.0,2.142857142857143,40.8375,97.0,2.224489795918367,39.8675,97.0,2.3061224489795915,39.429,97.0,2.387755102040816,38.7635,90.0,2.4693877551020407,38.4845,89.0,2.5510204081632653,37.895,84.0,2.63265306122449,37.8105,85.0,2.7142857142857144,37.5655,84.0,2.7959183673469385,36.9295,86.0,2.877551020408163,36.6375,87.0,2.9591836734693877,36.602,84.0,3.0408163265306123,36.322,88.0,3.1224489795918364,35.818,88.0,3.204081632653061,35.618,86.0,3.2857142857142856,35.551,82.0,3.36734693877551,35.543,81.0,3.4489795918367343,34.981,80.0,3.530612244897959,34.5845,78.0,3.6122448979591835,34.4205,79.0,3.693877551020408,34.3945,80.0,3.7755102040816326,34.261,77.0,3.8571428571428568,34.042,78.0,3.9387755102040813,33.778,78.0,4.020408163265306,33.671,80.0,4.1020408163265305,33.5915,82.0,4.183673469387754,33.541,82.0,4.26530612244898,33.5085,79.0,4.346938775510203,33.5845,84.0,4.428571428571429,33.0755,78.0,4.5102040816326525,33.057,77.0,4.591836734693877,32.9105,75.0,4.673469387755102,32.945,75.0,4.755102040816326,32.83,74.0,4.836734693877551,32.808,75.0,4.918367346938775,32.504,75.0,5.0
